date,price,diff,rate
2003/1/15,10000,,
2003/1/16,10007,7,0.069951034
2003/1/17,10010,3,0.02997003
2003/1/20,10015,5,0.049925112
2003/1/21,10015,0,0
2003/1/22,10019,4,0.039924144
2003/1/23,10019,0,0
2003/1/24,10019,0,0
2003/1/27,10026,7,0.069818472
2003/1/28,10032,6,0.059808612
2003/1/29,10034,2,0.01993223
2003/1/30,10042,8,0.079665405
2003/1/31,10023,-19,-0.189564003
2003/2/3,10024,1,0.009976057
2003/2/4,10009,-15,-0.149865121
2003/2/5,10002,-7,-0.069986003
2003/2/6,10002,0,0
2003/2/7,10009,7,0.069937057
2003/2/10,10018,9,0.089838291
2003/2/12,10008,-10,-0.099920064
2003/2/13,10009,1,0.009991008
2003/2/14,10010,1,0.00999001
2003/2/17,9999,-11,-0.110011001
2003/2/18,10000,1,0.01
2003/2/19,10002,2,0.019996001
2003/2/20,10006,4,0.039976014
2003/2/21,10016,10,0.099840256
2003/2/24,10029,13,0.12962409
2003/2/25,10041,12,0.119510009
2003/2/26,10035,-6,-0.059790732
2003/2/27,10036,1,0.009964129
2003/2/28,10039,3,0.029883455
2003/3/3,10039,0,0
2003/3/4,10051,12,0.119391105
2003/3/5,10050,-1,-0.009950249
2003/3/6,10056,6,0.059665871
2003/3/7,10060,4,0.039761431
2003/3/10,10059,-1,-0.009941346
2003/3/11,10071,12,0.119154007
2003/3/12,10076,5,0.049622866
2003/3/13,10068,-8,-0.079459674
2003/3/14,10063,-5,-0.049686972
2003/3/17,10068,5,0.049662296
2003/3/18,10070,2,0.019860973
2003/3/19,10075,5,0.049627792
2003/3/20,10060,-15,-0.149105368
2003/3/24,10061,1,0.00993937
2003/3/25,10073,12,0.119130348
2003/3/26,10073,0,0
2003/3/27,10064,-9,-0.089427663
2003/3/28,10061,-3,-0.02981811
2003/3/31,10081,20,0.198393017
2003/4/1,10081,0,0
2003/4/2,10078,-3,-0.029767811
2003/4/3,10088,10,0.099127676
2003/4/4,10080,-8,-0.079365079
2003/4/7,10068,-12,-0.119189511
2003/4/8,10068,0,0
2003/4/9,10085,17,0.168567179
2003/4/10,10086,1,0.009914733
2003/4/11,10088,2,0.019825535
2003/4/14,10097,9,0.089135387
2003/4/15,10097,0,0
2003/4/16,10099,2,0.019803941
2003/4/17,10103,4,0.0395922
2003/4/18,10111,8,0.079121749
2003/4/21,10113,2,0.019776525
2003/4/22,10111,-2,-0.019780437
2003/4/23,10109,-2,-0.019784351
2003/4/24,10114,5,0.049436425
2003/4/25,10118,4,0.039533505
2003/4/28,10125,7,0.069135802
2003/4/30,10127,2,0.019749185
2003/5/1,10129,2,0.019745286
2003/5/2,10130,1,0.009871668
2003/5/6,10130,0,0
2003/5/7,10133,3,0.029606237
2003/5/8,10133,0,0
2003/5/9,10141,8,0.078887684
2003/5/12,10147,6,0.059130778
2003/5/13,10146,-1,-0.009856101
2003/5/14,10142,-4,-0.039439953
2003/5/15,10140,-2,-0.019723866
2003/5/16,10148,8,0.078833268
2003/5/19,10135,-13,-0.128268377
2003/5/20,10140,5,0.049309665
2003/5/21,10148,8,0.078833268
2003/5/22,10149,1,0.009853188
2003/5/23,10146,-3,-0.029568303
2003/5/26,10156,10,0.098463962
2003/5/27,10163,7,0.0688773
2003/5/28,10167,4,0.039342972
2003/5/29,10164,-3,-0.029515939
2003/5/30,10162,-2,-0.019681165
2003/6/2,10161,-1,-0.009841551
2003/6/3,10166,5,0.049183553
2003/6/4,10168,2,0.019669552
2003/6/5,10169,1,0.009833809
2003/6/6,10174,5,0.049144879
2003/6/9,10178,4,0.039300452
2003/6/10,10187,9,0.088347894
2003/6/11,10194,7,0.068667844
2003/6/12,10197,3,0.029420418
2003/6/13,10191,-6,-0.058875478
2003/6/16,10189,-2,-0.019629012
2003/6/17,10179,-10,-0.098241478
2003/6/18,10153,-26,-0.256081946
2003/6/19,10084,-69,-0.684252281
2003/6/20,10128,44,0.434439179
2003/6/23,10109,-19,-0.18795133
2003/6/24,10107,-2,-0.019788266
2003/6/25,10111,4,0.039560874
2003/6/26,10114,3,0.029661855
2003/6/27,10079,-35,-0.347256672
2003/6/30,10040,-39,-0.388446215
2003/7/1,10030,-10,-0.099700897
2003/7/2,10014,-16,-0.159776313
2003/7/3,9932,-82,-0.825614176
2003/7/4,9952,20,0.20096463
2003/7/7,9937,-15,-0.150950991
2003/7/8,9908,-29,-0.292692774
2003/7/9,9935,27,0.271766482
2003/7/10,9969,34,0.341057278
2003/7/11,9990,21,0.21021021
2003/7/14,9983,-7,-0.070119203
2003/7/15,9969,-14,-0.14043535
2003/7/16,9964,-5,-0.05018065
2003/7/17,9996,32,0.320128051
2003/7/18,9999,3,0.030003
2003/7/22,10002,3,0.029994001
2003/7/23,10001,-1,-0.009999
2003/7/24,9983,-18,-0.180306521
2003/7/25,10000,17,0.17
2003/7/28,10019,19,0.189639685
2003/7/29,10006,-13,-0.129922047
2003/7/30,10002,-4,-0.039992002
2003/7/31,10012,10,0.099880144
2003/8/1,10002,-10,-0.099980004
2003/8/4,10001,-1,-0.009999
2003/8/5,10023,22,0.219495161
2003/8/6,10018,-5,-0.049910162
2003/8/7,10019,1,0.009981036
2003/8/8,10027,8,0.079784582
2003/8/11,10023,-4,-0.039908211
2003/8/12,10021,-2,-0.019958088
2003/8/13,10004,-17,-0.169932027
2003/8/14,9960,-44,-0.441767068
2003/8/15,9940,-20,-0.201207243
2003/8/18,9895,-45,-0.454775139
2003/8/19,9832,-63,-0.640764849
2003/8/20,9800,-32,-0.326530612
2003/8/21,9846,46,0.4671948
2003/8/22,9842,-4,-0.040642146
2003/8/25,9841,-1,-0.010161569
2003/8/26,9806,-35,-0.356924332
2003/8/27,9823,17,0.173063219
2003/8/28,9810,-13,-0.132517839
2003/8/29,9798,-12,-0.122473974
2003/9/1,9741,-57,-0.585155528
2003/9/2,9694,-47,-0.484835981
2003/9/3,9704,10,0.103050289
2003/9/4,9762,58,0.594140545
2003/9/5,9794,32,0.326730651
2003/9/8,9790,-4,-0.040858018
2003/9/9,9737,-53,-0.544315498
2003/9/10,9745,8,0.082093381
2003/9/11,9786,41,0.41896587
2003/9/12,9770,-16,-0.163766633
2003/9/16,9804,34,0.346797226
2003/9/17,9813,9,0.091715072
2003/9/18,9836,23,0.233834892
2003/9/19,9833,-3,-0.030509509
2003/9/22,9901,68,0.686799313
2003/9/24,9887,-14,-0.141600081
2003/9/25,9843,-44,-0.447018186
2003/9/26,9828,-15,-0.152625153
2003/9/29,9814,-14,-0.142653352
2003/9/30,9826,12,0.122124975
2003/10/1,9824,-2,-0.020358306
2003/10/2,9839,15,0.152454518
2003/10/3,9849,10,0.101533151
2003/10/6,9846,-3,-0.030469226
2003/10/7,9853,7,0.071044352
2003/10/8,9873,20,0.202572673
2003/10/9,9885,12,0.121396055
2003/10/10,9867,-18,-0.182426269
2003/10/14,9823,-44,-0.447928331
2003/10/15,9841,18,0.182908241
2003/10/16,9842,1,0.010160536
2003/10/17,9832,-10,-0.101708706
2003/10/20,9797,-35,-0.35725222
2003/10/21,9809,12,0.12233663
2003/10/22,9833,24,0.24407607
2003/10/23,9867,34,0.344582953
2003/10/24,9858,-9,-0.091296409
2003/10/27,9860,2,0.020283976
2003/10/28,9844,-16,-0.162535555
2003/10/29,9839,-5,-0.050818173
2003/10/30,9829,-10,-0.10173975
2003/10/31,9823,-6,-0.061081136
2003/11/4,9805,-18,-0.183579806
2003/11/5,9795,-10,-0.102092905
2003/11/6,9793,-2,-0.020422751
2003/11/7,9783,-10,-0.102218133
2003/11/10,9791,8,0.081707691
2003/11/11,9850,59,0.598984772
2003/11/12,9861,11,0.111550553
2003/11/13,9863,2,0.020277806
2003/11/14,9866,3,0.03040746
2003/11/17,9892,26,0.262838658
2003/11/18,9873,-19,-0.192444039
2003/11/19,9882,9,0.091074681
2003/11/20,9866,-16,-0.16217312
2003/11/21,9880,14,0.141700405
2003/11/25,9880,0,0
2003/11/26,9874,-6,-0.060765647
2003/11/27,9875,1,0.010126582
2003/11/28,9894,19,0.192035577
2003/12/1,9874,-20,-0.202552157
2003/12/2,9833,-41,-0.416963287
2003/12/3,9847,14,0.142175282
2003/12/4,9849,2,0.02030663
2003/12/5,9865,16,0.162189559
2003/12/8,9883,18,0.182130932
2003/12/9,9893,10,0.101081573
2003/12/10,9907,14,0.141314222
2003/12/11,9899,-8,-0.080816244
2003/12/12,9912,13,0.131154157
2003/12/15,9877,-35,-0.354358611
2003/12/16,9902,25,0.252474248
2003/12/17,9905,3,0.030287733
2003/12/18,9893,-12,-0.121297887
2003/12/19,9903,10,0.100979501
2003/12/22,9912,9,0.090799031
2003/12/24,9910,-2,-0.020181635
2003/12/25,9922,12,0.120943358
2003/12/26,9908,-14,-0.14129996
2003/12/29,9891,-17,-0.17187342
2003/12/30,9889,-2,-0.020224492
2004/1/5,9875,-14,-0.141772152
2004/1/6,9891,16,0.161763219
2004/1/7,9889,-2,-0.020224492
2004/1/8,9888,-1,-0.010113269
2004/1/9,9896,8,0.080840744
2004/1/13,9922,26,0.262043943
2004/1/14,9921,-1,-0.010079629
2004/1/15,9926,5,0.050372758
2004/1/16,9930,4,0.040281974
2004/1/19,9925,-5,-0.050377834
2004/1/20,9906,-19,-0.191802948
2004/1/21,9908,2,0.020185709
2004/1/22,9917,9,0.090753252
2004/1/23,9912,-5,-0.050443906
2004/1/26,9922,10,0.100786132
2004/1/27,9925,3,0.0302267
2004/1/28,9922,-3,-0.03023584
2004/1/29,9916,-6,-0.060508269
2004/1/30,9924,8,0.080612656
2004/2/2,9924,0,0
2004/2/3,9929,5,0.050357539
2004/2/4,9941,12,0.120712202
2004/2/5,9948,7,0.070365903
2004/2/6,9944,-4,-0.040225261
2004/2/9,9943,-1,-0.010057327
2004/2/10,9947,4,0.04021313
2004/2/12,9955,8,0.080361627
2004/2/13,9949,-6,-0.060307569
2004/2/16,9948,-1,-0.010052272
2004/2/17,9940,-8,-0.080482897
2004/2/18,9956,16,0.160707111
2004/2/19,9960,4,0.040160643
2004/2/20,9971,11,0.110319928
2004/2/23,9961,-10,-0.100391527
2004/2/24,9960,-1,-0.010040161
2004/2/25,9970,10,0.100300903
2004/2/26,9967,-3,-0.030099328
2004/2/27,9960,-7,-0.070281124
2004/3/1,9948,-12,-0.120627262
2004/3/2,9914,-34,-0.342949365
2004/3/3,9890,-24,-0.242669363
2004/3/4,9897,7,0.070728504
2004/3/5,9887,-10,-0.101142915
2004/3/8,9907,20,0.20187746
2004/3/9,9916,9,0.090762404
2004/3/10,9930,14,0.140986908
2004/3/11,9944,14,0.140788415
2004/3/12,9955,11,0.110497238
2004/3/15,9944,-11,-0.110619469
2004/3/16,9947,3,0.030159847
2004/3/17,9938,-9,-0.090561481
2004/3/18,9931,-7,-0.070486356
2004/3/19,9910,-21,-0.211907164
2004/3/22,9913,3,0.030263291
2004/3/23,9928,15,0.151087832
2004/3/24,9938,10,0.100623868
2004/3/25,9942,4,0.040233353
2004/3/26,9900,-42,-0.424242424
2004/3/29,9862,-38,-0.38531738
2004/3/30,9879,17,0.172082195
2004/3/31,9885,6,0.060698027
2004/4/1,9895,10,0.101061142
2004/4/2,9892,-3,-0.030327537
2004/4/5,9863,-29,-0.294028186
2004/4/6,9849,-14,-0.142146411
2004/4/7,9863,14,0.141944642
2004/4/8,9863,0,0
2004/4/9,9867,4,0.040539171
2004/4/12,9846,-21,-0.213284583
2004/4/13,9863,17,0.172361351
2004/4/14,9840,-23,-0.233739837
2004/4/15,9858,18,0.182592818
2004/4/16,9862,4,0.040559724
2004/4/19,9866,4,0.04054328
2004/4/20,9851,-15,-0.152268805
2004/4/21,9834,-17,-0.172869636
2004/4/22,9852,18,0.182704019
2004/4/23,9865,13,0.131779017
2004/4/26,9861,-4,-0.040563837
2004/4/27,9861,0,0
2004/4/28,9853,-8,-0.081193545
2004/4/30,9851,-2,-0.020302507
2004/5/6,9873,22,0.22282994
2004/5/7,9884,11,0.111290975
2004/5/10,9873,-11,-0.11141497
2004/5/11,9860,-13,-0.131845842
2004/5/12,9863,3,0.030416709
2004/5/13,9875,12,0.121518987
2004/5/14,9873,-2,-0.020257267
2004/5/17,9895,22,0.222334512
2004/5/18,9883,-12,-0.121420621
2004/5/19,9880,-3,-0.030364372
2004/5/20,9888,8,0.080906149
2004/5/21,9889,1,0.010112246
2004/5/24,9882,-7,-0.070835863
2004/5/25,9892,10,0.101091791
2004/5/26,9893,1,0.010108157
2004/5/27,9892,-1,-0.010109179
2004/5/28,9873,-19,-0.192444039
2004/5/31,9867,-6,-0.060808756
2004/6/1,9856,-11,-0.111607143
2004/6/2,9858,2,0.020288091
2004/6/3,9853,-5,-0.050745966
2004/6/4,9844,-9,-0.091426249
2004/6/7,9812,-32,-0.326131268
2004/6/8,9797,-15,-0.153108094
2004/6/9,9772,-25,-0.255832992
2004/6/10,9761,-11,-0.112693372
2004/6/11,9760,-1,-0.010245902
2004/6/14,9722,-38,-0.390866077
2004/6/15,9746,24,0.246254874
2004/6/16,9722,-24,-0.246862785
2004/6/17,9708,-14,-0.14421096
2004/6/18,9727,19,0.195332579
2004/6/21,9737,10,0.102701037
2004/6/22,9736,-1,-0.010271159
2004/6/23,9728,-8,-0.082236842
2004/6/24,9721,-7,-0.072009053
2004/6/25,9753,32,0.328104173
2004/6/28,9748,-5,-0.051292573
2004/6/29,9756,8,0.08200082
2004/6/30,9780,24,0.245398773
2004/7/1,9751,-29,-0.297405394
2004/7/2,9780,29,0.296523517
2004/7/5,9782,2,0.020445717
2004/7/6,9786,4,0.040874719
2004/7/7,9781,-5,-0.051119517
2004/7/8,9789,8,0.081724385
2004/7/9,9772,-17,-0.173966435
2004/7/12,9783,11,0.112439947
2004/7/13,9792,9,0.091911765
2004/7/14,9782,-10,-0.102228583
2004/7/15,9769,-13,-0.13307401
2004/7/16,9784,15,0.153311529
2004/7/20,9794,10,0.102103329
2004/7/21,9781,-13,-0.132910745
2004/7/22,9781,0,0
2004/7/23,9769,-12,-0.122837547
2004/7/26,9769,0,0
2004/7/27,9756,-13,-0.133251333
2004/7/28,9750,-6,-0.061538462
2004/7/29,9766,16,0.163833709
2004/7/30,9753,-13,-0.13329232
2004/8/2,9740,-13,-0.133470226
2004/8/3,9748,8,0.082068117
2004/8/4,9778,30,0.306811209
2004/8/5,9801,23,0.234669932
2004/8/6,9817,16,0.162982581
2004/8/9,9840,23,0.233739837
2004/8/10,9838,-2,-0.020329335
2004/8/11,9822,-16,-0.162899613
2004/8/12,9832,10,0.101708706
2004/8/13,9862,30,0.304197931
2004/8/16,9870,8,0.081053698
2004/8/17,9852,-18,-0.182704019
2004/8/18,9865,13,0.131779017
