date,price,diff,rate
2003/9/30,10078,,
2003/10/1,10192,114,1.118524333
2003/10/2,10464,272,2.599388379
2003/10/3,10556,92,0.871542251
2003/10/6,10576,20,0.189107413
2003/10/7,10640,64,0.601503759
2003/10/8,10431,-209,-2.003642987
2003/10/9,10461,30,0.286779467
2003/10/10,10625,164,1.543529412
2003/10/14,10758,133,1.236289273
2003/10/15,10686,-72,-0.673778776
2003/10/16,10795,109,1.009726725
2003/10/17,10828,33,0.304765423
2003/10/20,10936,108,0.987564009
2003/10/21,10818,-118,-1.090774635
2003/10/22,10621,-197,-1.854815931
2003/10/23,10061,-560,-5.566047113
2003/10/24,10145,84,0.827994086
2003/10/27,10219,74,0.724141305
2003/10/28,10340,121,1.170212766
2003/10/29,10455,115,1.099952176
2003/10/30,10422,-33,-0.316637881
2003/10/31,10321,-101,-0.978587346
2003/11/4,10585,264,2.494095418
2003/11/5,10519,-66,-0.627436068
2003/11/6,10243,-276,-2.694523089
2003/11/7,10339,96,0.928523068
2003/11/10,10221,-118,-1.154485862
2003/11/11,9966,-255,-2.558699579
2003/11/12,9955,-11,-0.110497238
2003/11/13,10076,121,1.200873362
2003/11/14,9957,-119,-1.195139098
2003/11/17,9609,-348,-3.621604746
2003/11/18,9631,22,0.228429031
2003/11/19,9429,-202,-2.142326864
2003/11/20,9612,183,1.903870162
2003/11/21,9639,27,0.280112045
2003/11/25,9776,137,1.401391162
2003/11/26,9913,137,1.382023605
2003/11/27,9951,38,0.381871169
2003/11/28,9892,-59,-0.596441569
2003/12/1,10096,204,2.020602219
2003/12/2,10126,30,0.296267035
2003/12/3,10052,-74,-0.736171906
2003/12/4,10126,74,0.730792021
2003/12/5,10086,-40,-0.396589332
2003/12/8,9848,-238,-2.416734362
2003/12/9,9868,20,0.202675314
2003/12/10,9702,-166,-1.710987425
2003/12/11,9807,105,1.070663812
2003/12/12,9883,76,0.768997268
2003/12/15,10122,239,2.36119344
2003/12/16,9941,-181,-1.82074238
2003/12/17,9795,-146,-1.490556406
2003/12/18,9851,56,0.568470206
2003/12/19,9979,128,1.282693657
2003/12/22,10045,66,0.657043305
2003/12/24,10012,-33,-0.329604475
2003/12/25,10026,14,0.139636944
2003/12/26,10083,57,0.565307944
2003/12/29,10157,74,0.728561583
2003/12/30,10330,173,1.674733785
2004/1/5,10482,152,1.450104942
2004/1/6,10448,-34,-0.325421133
2004/1/7,10407,-41,-0.3939656
2004/1/8,10461,54,0.51620304
2004/1/9,10548,87,0.82480091
2004/1/13,10477,-71,-0.677674907
2004/1/14,10472,-5,-0.047746371
2004/1/15,10338,-134,-1.296188818
2004/1/16,10479,141,1.345548239
2004/1/19,10612,133,1.253298153
2004/1/20,10649,37,0.347450465
2004/1/21,10592,-57,-0.538141994
2004/1/22,10633,41,0.385592025
2004/1/23,10658,25,0.234565585
2004/1/26,10578,-80,-0.756286633
2004/1/27,10524,-54,-0.513112885
2004/1/28,10473,-51,-0.486966485
2004/1/29,10395,-78,-0.75036075
2004/1/30,10367,-28,-0.270087779
2004/2/2,10386,19,0.182938571
2004/2/3,10326,-60,-0.581057525
2004/2/4,10120,-206,-2.035573123
2004/2/5,10148,28,0.275916437
2004/2/6,10180,32,0.314341847
2004/2/9,10139,-41,-0.40437913
2004/2/10,10146,7,0.068992706
2004/2/12,10202,56,0.548911978
2004/2/13,10303,101,0.980297001
2004/2/16,10341,38,0.367469297
2004/2/17,10437,96,0.919804542
2004/2/18,10418,-19,-0.182376656
2004/2/19,10485,67,0.639008107
2004/2/20,10477,-8,-0.076357736
2004/2/23,10570,93,0.879848628
2004/2/24,10383,-187,-1.8010209
2004/2/25,10357,-26,-0.251037945
2004/2/26,10493,136,1.296102163
2004/2/27,10711,218,2.035290823
2004/3/1,10962,251,2.289728152
2004/3/2,11053,91,0.82330589
2004/3/3,11045,-8,-0.072430964
2004/3/4,11089,44,0.396789611
2004/3/5,11192,103,0.920300214
2004/3/8,11204,12,0.107104605
2004/3/9,11228,24,0.213751336
2004/3/10,11169,-59,-0.528247829
2004/3/11,11087,-82,-0.739604943
2004/3/12,10959,-128,-1.16798978
2004/3/15,11131,172,1.545234031
2004/3/16,11093,-38,-0.34255837
2004/3/17,11296,203,1.797096317
2004/3/18,11335,39,0.344067049
2004/3/19,11261,-74,-0.657135246
2004/3/22,11195,-66,-0.589548906
2004/3/23,11207,12,0.107075935
2004/3/24,11340,133,1.172839506
2004/3/25,11479,139,1.210906873
2004/3/26,11686,207,1.771350334
2004/3/29,11717,31,0.264572843
2004/3/30,11680,-37,-0.316780822
2004/3/31,11711,31,0.264708394
2004/4/1,11681,-30,-0.256827326
2004/4/2,11770,89,0.756159728
2004/4/5,11923,153,1.283234085
2004/4/6,12023,100,0.831739167
2004/4/7,11975,-48,-0.400835073
2004/4/8,12026,51,0.424081157
2004/4/9,11838,-188,-1.588106099
2004/4/12,11991,153,1.275956968
2004/4/13,12092,101,0.835262984
2004/4/14,12106,14,0.115645135
2004/4/15,11875,-231,-1.945263158
2004/4/16,11891,16,0.134555546
2004/4/19,11759,-132,-1.122544434
2004/4/20,11972,213,1.779151353
2004/4/21,11963,-9,-0.075231965
2004/4/22,11987,24,0.200216902
2004/4/23,12025,38,0.316008316
2004/4/26,12038,13,0.107991361
2004/4/27,11974,-64,-0.534491398
2004/4/28,11994,20,0.166750042
2004/4/30,11792,-202,-1.71302578
2004/5/6,11583,-209,-1.804368471
2004/5/7,11440,-143,-1.25
2004/5/10,10794,-646,-5.984806374
2004/5/11,10823,29,0.267947889
2004/5/12,11156,333,2.984940839
2004/5/13,10895,-261,-2.395594309
2004/5/14,10850,-45,-0.414746544
2004/5/17,10473,-377,-3.599732646
2004/5/18,10697,224,2.094045059
2004/5/19,10993,296,2.692622578
2004/5/20,10984,-9,-0.081937363
2004/5/21,11183,199,1.779486721
2004/5/24,11241,58,0.51596833
2004/5/25,11090,-151,-1.361587015
2004/5/26,11204,114,1.017493752
2004/5/27,11199,-5,-0.044646843
2004/5/28,11352,153,1.347780127
2004/5/31,11330,-22,-0.194174757
2004/6/1,11375,45,0.395604396
2004/6/2,11302,-73,-0.64590338
2004/6/3,11128,-174,-1.563623293
2004/6/4,11181,53,0.474018424
2004/6/7,11446,265,2.315219291
2004/6/8,11508,62,0.538755648
2004/6/9,11457,-51,-0.445142708
2004/6/10,11549,92,0.796605767
2004/6/11,11533,-16,-0.138732333
2004/6/14,11516,-17,-0.147620702
2004/6/15,11445,-71,-0.620358235
2004/6/16,11603,158,1.361716797
2004/6/17,11596,-7,-0.060365643
2004/6/18,11430,-166,-1.45231846
2004/6/21,11582,152,1.312381281
2004/6/22,11553,-29,-0.251017052
2004/6/23,11491,-62,-0.539552693
2004/6/24,11620,129,1.110154905
2004/6/25,11661,41,0.351599348
2004/6/28,11800,139,1.177966102
2004/6/29,11806,6,0.050821616
2004/6/30,11835,29,0.24503591
2004/7/1,11823,-12,-0.101497082
2004/7/2,11677,-146,-1.250321144
2004/7/5,11507,-170,-1.477361606
2004/7/6,11432,-75,-0.656053184
2004/7/7,11341,-91,-0.802398378
2004/7/8,11291,-50,-0.442830573
2004/7/9,11411,120,1.051616861
