date,price,diff,rate
2006/5/15,9985,,
2006/5/16,9986,1,0.01001402
2006/5/17,9961,-25,-0.250978817
2006/5/18,10004,43,0.429828069
2006/5/19,10074,70,0.69485805
2006/5/22,10144,70,0.690063091
2006/5/23,10196,52,0.510003923
2006/5/24,10212,16,0.156678418
2006/5/25,10250,38,0.370731707
2006/5/26,10179,-71,-0.697514491
2006/5/29,10205,26,0.25477707
2006/5/30,10243,38,0.370985063
2006/5/31,10244,1,0.009761812
2006/6/1,10224,-20,-0.195618153
2006/6/2,10219,-5,-0.048928467
2006/6/5,10234,15,0.146570256
2006/6/6,10274,40,0.389332295
2006/6/7,10283,9,0.087523096
2006/6/8,10304,21,0.203804348
2006/6/9,10281,-23,-0.223713647
2006/6/12,10317,36,0.348938645
2006/6/13,10321,4,0.038755935
2006/6/14,10390,69,0.664100096
2006/6/15,10387,-3,-0.028882257
2006/6/16,10351,-36,-0.347792484
2006/6/19,10394,43,0.413700212
2006/6/20,10366,-28,-0.270113834
2006/6/21,10299,-67,-0.650548597
2006/6/22,10329,30,0.29044438
2006/6/23,10374,45,0.43377675
2006/6/26,10348,-26,-0.251256281
2006/6/27,10366,18,0.173644607
2006/6/28,10366,0,0
2006/6/29,10372,6,0.057848052
2006/6/30,10339,-33,-0.319179805
2006/7/3,10347,8,0.077317097
2006/7/4,10366,19,0.18329153
2006/7/5,10411,45,0.432235136
2006/7/6,10390,-21,-0.202117421
2006/7/7,10404,14,0.134563629
2006/7/10,10327,-77,-0.745618282
2006/7/11,10309,-18,-0.174604714
2006/7/12,10349,40,0.386510774
2006/7/13,10410,61,0.585975024
2006/7/14,10433,23,0.220454328
2006/7/18,10495,62,0.590757504
2006/7/19,10490,-5,-0.047664442
2006/7/20,10534,44,0.417695083
2006/7/21,10575,41,0.387706856
2006/7/24,10562,-13,-0.123082749
2006/7/25,10565,3,0.028395646
2006/7/26,10556,-9,-0.085259568
2006/7/27,10559,3,0.028411781
2006/7/28,10531,-28,-0.265881683
2006/7/31,10486,-45,-0.42914362
2006/8/1,10472,-14,-0.13368984
2006/8/2,10495,23,0.219151977
2006/8/3,10499,4,0.038098867
2006/8/4,10548,49,0.464543041
2006/8/7,10546,-2,-0.018964536
2006/8/8,10587,41,0.387267403
2006/8/9,10616,29,0.27317257
2006/8/10,10632,16,0.15048909
2006/8/11,10585,-47,-0.444024563
2006/8/14,10624,39,0.367093373
2006/8/15,10620,-4,-0.037664783
2006/8/16,10627,7,0.065869954
2006/8/17,10664,37,0.34696174
2006/8/18,10684,20,0.187195807
2006/8/21,10682,-2,-0.018723086
2006/8/22,10753,71,0.660280852
2006/8/23,10758,5,0.04647704
2006/8/24,10759,1,0.009294544
2006/8/25,10779,20,0.185545969
2006/8/28,10844,65,0.599409812
2006/8/29,10841,-3,-0.027672724
2006/8/30,10830,-11,-0.101569714
2006/8/31,10887,57,0.523560209
2006/9/1,10903,16,0.146748601
2006/9/4,10894,-9,-0.082614283
2006/9/5,10791,-103,-0.95449912
2006/9/6,10787,-4,-0.037081672
2006/9/7,10818,31,0.286559438
2006/9/8,10736,-82,-0.763785395
2006/9/11,10751,15,0.139521905
2006/9/12,10847,96,0.885037338
2006/9/13,10843,-4,-0.03689016
2006/9/14,10850,7,0.064516129
2006/9/15,10881,31,0.284900285
2006/9/19,10880,-1,-0.009191176
2006/9/20,10843,-37,-0.341233976
2006/9/21,10852,9,0.082934021
2006/9/22,10831,-21,-0.193887914
2006/9/25,10899,68,0.623910451
2006/9/26,10886,-13,-0.119419438
2006/9/27,10917,31,0.283960795
2006/9/28,10955,38,0.346873574
2006/9/29,10970,15,0.136736554
2006/10/2,10981,11,0.100173026
2006/10/3,10974,-7,-0.063787133
2006/10/4,10998,24,0.218221495
2006/10/5,10965,-33,-0.300957592
2006/10/6,10967,2,0.018236528
2006/10/10,10980,13,0.118397086
2006/10/11,10984,4,0.036416606
2006/10/12,10969,-15,-0.13674902
2006/10/13,10959,-10,-0.091249202
2006/10/16,10951,-8,-0.073052689
2006/10/17,10909,-42,-0.385003208
2006/10/18,10902,-7,-0.064208402
2006/10/19,10919,17,0.155691913
2006/10/20,10917,-2,-0.018320051
2006/10/23,10940,23,0.21023766
2006/10/24,10932,-8,-0.073179656
2006/10/25,10940,8,0.073126143
2006/10/26,10943,3,0.027414786
2006/10/27,10987,44,0.400473287
2006/10/30,10930,-57,-0.521500457
2006/10/31,10954,24,0.219098046
2006/11/1,10950,-4,-0.03652968
2006/11/2,11005,55,0.499772831
2006/11/6,11005,0,0
2006/11/7,11019,14,0.127053272
2006/11/8,11026,7,0.063486305
2006/11/9,11044,18,0.162984426
