date,price,diff,rate
20020905,10184,,
20020906,10100,-84,-0.831683168
20020909,10281,181,1.760529131
20020910,10305,24,0.232896652
20020911,10509,204,1.941193263
20020912,10628,119,1.119683854
20020913,10302,-326,-3.16443409
20020917,10426,124,1.189334356
20020918,10260,-166,-1.617933723
20020919,10105,-155,-1.533894112
20020920,9873,-232,-2.349843006
20020924,9809,-64,-0.652462025
20020925,9626,-183,-1.901101184
20020926,9763,137,1.403257196
20020927,9995,232,2.32116058
20020930,9822,-173,-1.761352067
20021001,9569,-253,-2.643954436
20021002,9897,328,3.314135597
20021003,9861,-36,-0.365074536
20021004,9720,-141,-1.450617284
20021007,9538,-182,-1.908156846
20021008,9470,-68,-0.718057022
20021009,9483,13,0.13708742
20021010,9277,-206,-2.220545435
20021011,9562,285,2.980548003
20021015,10053,491,4.884114195
20021016,10558,505,4.78310286
20021017,10337,-221,-2.13795105
20021018,10613,276,2.600584189
20021021,10653,40,0.375481085
20021022,10742,89,0.828523552
20021023,10656,-86,-0.807057057
20021024,10555,-101,-0.956892468
20021025,10536,-19,-0.180334093
20021028,10628,92,0.865637938
20021029,10568,-60,-0.567751703
20021030,10301,-267,-2.591981361
20021031,10480,179,1.708015267
20021101,10475,-5,-0.047732697
20021105,10696,221,2.066192969
20021106,10778,82,0.760809055
20021107,10783,5,0.046369285
20021108,10545,-238,-2.256993836
20021111,10338,-207,-2.002321532
20021112,10133,-205,-2.023092865
20021113,10252,119,1.160749122
20021114,10243,-9,-0.087864883
20021115,10491,248,2.363930988
20021118,10556,65,0.615763547
20021119,10552,-4,-0.037907506
20021120,10622,70,0.659009603
20021121,10765,143,1.328379006
20021122,11049,284,2.570368359
20021125,11043,-6,-0.054333062
20021126,10914,-129,-1.181968114
20021127,10674,-240,-2.248454188
20021128,10992,318,2.8930131
20021129,11040,48,0.434782609
20021202,11057,17,0.153748756
20021203,11206,149,1.329644833
20021204,11006,-200,-1.817190623
20021205,11003,-3,-0.027265291
20021206,10917,-86,-0.787762206
20021209,10817,-100,-0.924470741
20021210,10603,-214,-2.018296708
20021211,10737,134,1.248020862
20021212,10755,18,0.167364017
20021213,10618,-137,-1.29026182
20021216,10334,-284,-2.748209793
20021217,10641,307,2.885067193
20021218,10565,-76,-0.719356365
20021219,10376,-189,-1.82151118
20021220,10291,-85,-0.825964435
20021224,10394,103,0.990956321
20021225,10368,-26,-0.250771605
20021226,10374,6,0.0578369
20021227,10353,-21,-0.202839757
20021230,10140,-213,-2.100591716
20030106,10560,420,3.977272727
20030107,10693,133,1.243804358
20030108,10688,-5,-0.046781437
